PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Activated,Played,Started,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed
430,1,2020,BAL,4,S.Koch,P,ST,15,15,0,35,0,33
549,1,2020,DET,5,M.Prater,K,ST,16,16,0,15,33,0
611,1,2020,NYJ,5,J.Flacco,QB,OFF,13,5,4,132,0,0
722,1,2020,LV,82,J.Witten,TE,OFF,16,16,7,214,0,19
732,1,2020,ATL,2,M.Ryan,QB,OFF,16,16,16,590,0,0
1410,1,2020,SF,9,R.Gould,K,ST,15,15,0,16,0,24
1658,1,2020,SEA,88,G.Olsen,TE,OFF,11,11,7,227,0,2
1694,1,2020,GB,2,M.Crosby,K,ST,16,16,0,5,4,70
2405,1,2020,KC,4,C.Henne,QB,OFF,16,3,1,40,0,0
2593,1,2020,GB,12,A.Rodgers,QB,OFF,16,16,16,540,0,0
2760,1,2020,DAL,39,B.Carr,CB,DEF,3,3,0,0,11,1
2982,1,2020,TEN,3,S.Gostkowski,K,ST,15,15,0,12,0,74
3061,1,2020,GB,89,M.Lewis,TE,OFF,15,15,15,224,0,0
3100,1,2020,ARI,4,A.Lee,P,ST,16,16,0,25,0,48
3341,1,2020,BAL,93,C.Campbell,DE,DEF,12,12,12,0,217,56
3617,1,2020,SEA,76,D.Brown,OT,OFF,16,16,15,555,0,0
3807,1,2020,PIT,7,B.Roethlisberger,QB,OFF,15,15,15,535,0,0
3942,1,2020,BAL,29,T.Williams,CB,DEF,6,6,0,0,90,12
3943,1,2020,PHI,10,D.Jackson,WR,OFF,5,5,4,95,0,1
4314,1,2020,TB,12,T.Brady,QB,OFF,16,16,15,543,0,0
4490,1,2020,ARI,25,J.Joseph,CB,DEF,11,11,6,0,225,2
4633,1,2020,ATL,8,M.Schaub,QB,OFF,16,1,0,3,0,0
4807,1,2020,DET,28,A.Peterson,RB,OFF,16,16,10,167,0,0
4895,1,2020,WAS,58,T.Davis Sr.,OLB,DEF,9,7,0,0,65,0
5099,1,2020,LAR,77,A.Whitworth,OT,OFF,9,9,0,317,0,1
5282,1,2020,HOU,18,J.McCown,QB,OFF,0,0,0,0,0,0
5571,1,2020,ARI,11,L.Fitzgerald,WR,OFF,13,13,13,395,0,1
